company_name,category,description,overall_rating,review_count,clients,notable_project,industries,location,company_size,min_project_size
Plaut Consulting Polska Sp. z o.o.,big-data,"Plaut Consulting Polska Sp. z o.o. is an IT services company comprised of around 30 employees that work with companies in many industries including manufacturing, consumer products, and more. Founded in 2011, the Gliwice, Poland-based company provides primarily ERP consulting services. ",4.8,(4 Reviews),,Plaut Consulting Polska provided consulting support for an SAP system update within the HR department of an automotive company. They continue to support the client with automation projects.,"['Automotive', 'Business services', 'Consumer products & services', 'Financial services', 'Manufacturing', 'Media']","Gliwice, Poland",50 - 249 employees,Undisclosed
Horion Digital,big-data,,5.0,(1 Reviews),,Horion Digital has worked on a number of website projects for an arts marketing company over the years. They've integrated WordPress websites with a number of APIs for online ticketing solutions and CRMs.,"['Advertising & marketing', 'Medical', 'Manufacturing', 'Non-profit', 'Supply Chain, Logistics, and Transport']","Vilnius, Lithuania",10 - 49 employees,"$10,000+"
Cognitive Machines,big-data,"Cognitive Machines is an artificial intelligence and development firm based out of Bangalore, India. Founded in 2016, their team of 35 serves small and medium-sized clients in the IT and consumer products sectors. Services include machine learning, cognitive computing, and iOS/Android development.",5.0,(1 Reviews),Thrift+; Dueelli; Floord; Qumec,"Cognitive Machines created an Android app with an embedded facial recognition system. They applied and developed several calibration tools and tested the product, getting it to an MVP stage.","['Business services', 'eCommerce', 'Manufacturing', 'Retail']","Bengaluru, India",10 - 49 employees,"$25,000+"
Zenitech,big-data,"Zenitech is a software house based in London with over 250 employees. They have offered custom software development, mobile app development, and IT strategy consulting solutions since their founding in 2015.",4.8,(3 Reviews),Skimlinks; Anaplan; Sports Information Services; Kobalt Music,Zenitech developed a mobile app for a video marketing solutions company. The team built both an iOS and Android version of the app and provided UI/UX designs.,"['Arts, entertainment & music', 'Automotive', 'Business services', 'Consumer products & services', 'Education', 'Gambling', 'Gaming', 'GPS, Navigation & GIS', 'Medical']","London, United Kingdom",250 - 999 employees,"$10,000+"
Cubeware,big-data,"Big data analytics company Cubeware is in München, Germany; Wien, Austria and Zürich, Switzerland. The agency specializes in BI & big data consulting & SI and is midsize.The agency was established in 1997.",,,,,,"München, Germany",50 - 249 employees,"$5,000+"
Quantilus Innovation Inc.,big-data,"Quantilus Innovation Inc. Is a midsize New York, New York-based web design company. The team specializes in web design, web development, blockchain, Artificial Intelligence, and more.",4.8,(3 Reviews),,"Quantilus Innovation Inc. provided custom, full stack software development services for a SaaS company. They were tasked with adding certain features and functionalities to the client's existing platform.","['Consumer products & services', 'eCommerce', 'Education', 'Financial services', 'Medical', 'Legal', 'Media', 'Non-profit', 'Real estate', 'Retail']","New York, NY",50 - 249 employees,"$5,000+"
UDEV HUB,big-data,"UDEV HUB is a software development company founded in 2018 in Kyiv, Ukraine with over 250 members. They specialize in cybersecurity, IT staff augmentation, and custom software development solutions for clients in the fields of financial services, e-commerce, and education.",4.9,(5 Reviews),GBS SOLUTIONS; PZU; KNIAZHA VIG; NETTOTER,"Ukrainian development HUB provides cybersecurity consultations for a cybersecurity consultancy's client. In order to secure the third party's infrastructure, they provide remote and on-site consultations.","['eCommerce', 'Education', 'Financial services', 'Medical', 'Information technology', 'Retail']","Kyiv, Ukraine",250 - 999 employees,"$25,000+"
InterKnowlogy,big-data,"InterKnowlogy is a small custom software development company. Launched in 1999, the team offers custom software development, Artificial Intelligence, AR/VR development, BI & big data consulting & SI, and more. The company is headquartered in Carlsbad, California.",5.0,(1 Reviews),,InterKnowlogy rewrote a test analytics platform for a medical diagnostics company. The team also provides cloud-based IoT services to manage testing instruments.,,"Carlsbad, CA",10 - 49 employees,Undisclosed
Insitu S2 Tikshuv LTD,big-data,"Insitu S2 Tikshuv LTD is a consulting company based in Haifa, Israel, and founded in 2013. With more than two experts, they specialize in big data consulting, cybersecurity, and cloud consulting solutions for clients ranging from small startups to large businesses.",4.8,(3 Reviews),Amdocs; Ericsson,"Insitu S2 Tikshuv LTD worked on a large data project with a telecommunications platform. The project required the relocation of data centers, and Insitu S2 Tikshuv LTD provided a data migration solution to facilitate that. The project ended up being a success.","['Financial services', 'Manufacturing', 'Telecommunications']","Haifa, Israel",2 - 9 employees,"$25,000+"
Antologic,big-data,"Antologic is a software agency founded in 2007 in Wrocław, Poland. Their team of more than 50 specializes in custom software, e-commerce, and web development solutions for clients ranging from startups to enterprises in the industries of e-commerce, consumer products, and more.",4.9,(8 Reviews),OPO Oeschger; Fresenius Kabi; Supra Brokers,"Antologic is developing a custom CRM using a variety of technologies. They’re working on the entire solution, end-to-end, and have integrated payment and security features.","['Consumer products & services', 'eCommerce', 'Hospitality & leisure', 'Information technology']","Wrocław, Poland",50 - 249 employees,Undisclosed
Great Software Laboratory,big-data,"Great Software Laboratory is a software product company based in Pune, India, with offices in London and San Jose, Calif. The company, founded in 2003, has more than 1,000 employees and provides custom software development, BI & big data consulting & SI, cloud consulting & SI, and cybersecurity services. Great Software Laboratory serves enterprise and smaller-sized companies in various industries that include IT, financial services, and manufacturing.",4.0,(1 Reviews),,Great Software Laboratory was hired by a computer and network security firm to develop their Salesforce integration. They were also tasked with providing support to other enhancement projects.,"['Financial services', 'Medical', 'Information technology', 'Telecommunications']","Pune, India","1,000 - 9,999 employees","$10,000+"
BrightAnalytics,big-data,"BrightAnalytics, an accounting company, is located in Hooglede, Belgium. The small firm was founded in 2014. Their team offers accounting, custom software development, BI & big data consulting & SI, and cloud consulting & SI.",4.5,(1 Reviews),,"BrightAnalytics streamlined a digital agency's financial reporting process with a developed solution. The team is able to connect their ERP and accounting packages to the solution, making it more efficient.","['Automotive', 'Business services', 'Consumer products & services', 'eCommerce', 'Financial services', 'Hospitality & leisure', 'Information technology', 'Non-profit', 'Real estate']","Hooglede, Belgium",10 - 49 employees,Undisclosed
Lemay.ai,big-data,"Lemay.ai is an AI consulting firm headquartered in Ottawa, Canada. Founded in 2016, the company has 9 people who specialize in AI, but also provide BI & big data consulting & SI and cloud consulting & SI services. 
 ",4.9,(7 Reviews),Government of Canada; Invest Ottawa,"Lemay.ai elaborated on a high-level concept that combined AI with blockchain technology. After developing detailed technical documentation, they created an AI algorithm.","['Advertising & marketing', 'Automotive', 'Business services', 'Financial services', 'Government', 'Medical', 'Information technology', 'Legal', 'Real estate']","Ottawa, Canada",10 - 49 employees,"$25,000+"
Programmers Beyond IT,big-data,,5.0,(1 Reviews),,Programmers Beyond IT provided UX design services for a marketing data company's web app. They analyzed the client's platform and utilized Figma to design its front- and backend.,"['Financial services', 'Medical', 'Information technology', 'Manufacturing', 'Media', 'Retail', 'Supply Chain, Logistics, and Transport']","Chicago, IL",250 - 999 employees,"$10,000+"
Cosdec Alpha,big-data,"Cosdec Alpha is an IT strategy consulting company. Their small team is headquartered in Mumbai, India and specializes in IT strategy consulting, market research, AR/VR development, Artificial Intelligence, and more. The company was established in 2020.",5.0,(4 Reviews),Vexillum Treasury; Poly Studios; Forticraft International Group; Krypton Engineering,"A multi assets project platform hired Cosdec Alpha for IT consulting and SI services. They strategized the projects, created assets, and blockchain infrastructure, and handled communication materials.","['Business services', 'Consumer products & services', 'eCommerce', 'Education', 'Financial services', 'Government', 'Medical', 'Information technology', 'Manufacturing', 'Media']","Mumbai, India",10 - 49 employees,"$25,000+"
Sigma Data Systems,big-data,,,,,,"['eCommerce', 'Education', 'Financial services', 'Medical', 'Retail', 'Supply Chain, Logistics, and Transport']","Ahmedabad, India",2 - 9 employees,"$10,000+"
Unit8 SA,big-data,"Unit8 SA is an artificial intelligence firm and business intelligence company. Established in 2017, the team offers Artificial Intelligence and BI & big data consulting & SI. Their midsize firm is located in Morges, Switzerland and Zürich, Switzerland.",,,,,"['Automotive', 'Consumer products & services', 'Financial services', 'Medical', 'Manufacturing', 'Supply Chain, Logistics, and Transport', 'Utilities']","Morges, Switzerland",50 - 249 employees,"$50,000+"
Badgewell,big-data,"Headquartered in Newark, Delaware and 6th of October City, Egypt, Badgewell is a web development firm. The small agency was founded in 2018. Their team provides web development, custom software development, mobile app development, ux/ui design, and more.",5.0,(3 Reviews),,"Badgewell developed a mobile application for an HR consultancy firm. The team worked on the design sprint, UX/UI delivery, front- and backend development, and app testing.","['Business services', 'eCommerce', 'Education', 'Information technology', 'Retail']","Newark, DE",10 - 49 employees,"$10,000+"
Locwise,big-data,,4.5,(1 Reviews),,"Locwise designs and develops a custom software solution for a healthcare software firm. They're building the software from scratch using Windows Server 2016, Microsoft SQL Server, T-SQL, Python, and Kubernetes.",,"Jerusalem, Israel",10 - 49 employees,"$5,000+"
AVS Solutions,big-data,"AVS Solutions is a custom software development company in Belgrade, Serbia. Founded in 2010, they have about 16 employees that serve mostly small-business and midmarket clients in real estate, IT, and energy industries. Services include custom software development, web development, and BI & big data consulting.",4.7,(7 Reviews),Gudrun Xpert; Yokogawa; Naftna industrija Srbija; Drina plastika,AVS Solutions is the frontend development partner for a property evaluation company. The team works on a variety of Angular development projects.,"['Information technology', 'Energy & natural resources', 'Real estate', 'Retail']","Beograd, Serbia",10 - 49 employees,"$5,000+"
Jump Data,big-data,"Jump Data is a small London, United Kingdom-based business intelligence company and other application development company. The team provides BI & big data consulting & SI and other application development.",5.0,(2 Reviews),,"A nonprofit organization hired Jump Data for BI and analytics services. The team was responsible for data cleaning, management, analysis, reporting, and dissemination.",,"London, United Kingdom",2 - 9 employees,Undisclosed
Leaf,big-data,"Leaf, a social media marketing agency, is located in Newcastle upon Tyne, United Kingdom. The small team provides social media marketing, marketing strategy, and pay per click. The company was founded in 2018.",5.0,(1 Reviews),,"Leaf helped the client with their PPC and SEO efforts for their product. The team managed ads on Facebook, LinkedIn, and Google Ads. They also reached out to leads on LinkedIn and helped optimize landing pages.","['Consumer products & services', 'eCommerce']","Newcastle upon Tyne, United Kingdom",10 - 49 employees,"$5,000+"
The Data Analysis Bureau,big-data,"The Data Analysis Bureau is a data science and engineering innovation agency focusing in artificial intelligence and cloud consulting & SI. Founded in 2016, they're based in London. Their team of around 20 employees serves mostly midmarket and enterprise clients. ",4.7,(7 Reviews),Trigger Racing,The Data Analysis Bureau provides custom software development for staffing and recruiting company. They are optimizing the client's job ads using AI and ML that can be integrated with CRMs and ATS platforms.,"['Advertising & marketing', 'Consumer products & services', 'Financial services', 'Medical', 'Manufacturing', 'Media', 'Retail']","London, United Kingdom",10 - 49 employees,"$10,000+"
The Dayhuff Group,big-data,"Founded in 1997, the Dayhuff Group is a cognitive solutions provider in Columbus, Ohio. Their current team of under 50 provides BI/SI & big data consulting, ECM consulting, and AI services. Though they mostly serve clients in the financial services industry, they also work with government businesses.",4.6,(4 Reviews),,The Dayhuff Group built an ECM from scratch with a file submission feature. The technology launched last month and new features are expected later this year. Technical support is ongoing. ,"['Consumer products & services', 'Financial services', 'Government', 'Manufacturing', 'Retail']","Worthington, OH",50 - 249 employees,Undisclosed
PenPath,big-data,,,,,,"['Advertising & marketing', 'Arts, entertainment & music', 'Consumer products & services', 'eCommerce']","St. Louis, MO",10 - 49 employees,"$25,000+"
eComStreet inc.,big-data,"eComStreet inc. is a software company founded in 2011 with over 10 employees? Based in Schaumburg, Ill., they are experts in mobile app development, web development, and big data consulting services for small and mid-market firms across different industries.",5.0,(4 Reviews),ChamberLynk; Barchart; AgMobile; NKCC,eComStreet inc. designed logos and social media content posts for a design consultant. They used CorelDRAW and Photoshop and worked on an agreed time frame.,"['Advertising & marketing', 'Arts, entertainment & music', 'Business services', 'eCommerce', 'Education', 'Financial services', 'Government', 'Information technology']","Schaumburg, IL",10 - 49 employees,"$5,000+"
Blue Orange Digital,big-data,"Blue Orange Digital is a data management company based in New York. Their team of fewer than 50 employees specializes in AI, BI and big data consulting, and IT strategy consulting. They primarily serve enterprise and midmarket businesses across a range of industries. They were founded in 2015.",5.0,(2 Reviews),Point72 Asset Management; Exelon Corporation; Govzilla; Uiba,Blue Orange Digital helped a concrete cutting company migrate its data to a cloud computing system for more widespread access. The team also provided training on maintenance once the migration was complete.,"['Advertising & marketing', 'Business services', 'eCommerce', 'Financial services', 'Manufacturing', 'Energy & natural resources', 'Retail', 'Utilities']","New York, NY",10 - 49 employees,"$10,000+"
InSky Solutions d.o.o.,big-data,"InSky Solutions d.o.o. Is a Zagreb, Croatia-based CRM consulting and SI company. The small team offers CRM consulting and SI, Artificial Intelligence, BI & big data consulting & SI, business consulting, and more. The agency was established in 2016.",4.9,(8 Reviews),,InSky Solutions d.o.o. provided marketing automation and SI services for a hospitality company. They improved and digitized the client's processes to provide better customer satisfaction.,"['Financial services', 'Government', 'Medical', 'Hospitality & leisure', 'Information technology', 'Manufacturing', 'Media', 'Real estate']","Zagreb, Croatia",10 - 49 employees,Undisclosed
mindit.io,big-data,"Mindit.io is a software development firm established in 2015. Headquartered in București, Romania, their midsize team focuses on custom software development, application management & support, BI & big data consulting & SI, cloud consulting & SI, and more.",4.8,(6 Reviews),,"mindit.io augments the team of a fintech firm to support them on multiple projects, including developing their client dashboards, payment experiences, and customizable education shopping card solution. ","['Financial services', 'Medical', 'Retail']","București, Romania",250 - 999 employees,"$50,000+"
J. B. G.,big-data,,3.5,(1 Reviews),,J. B. Gorski has been managing a B2B data platform's data batch processing. The vendor works with the internal team to update and develop the platform while handling ad hoc questions about it.,,"Łódź, Poland",Freelancer employees,"$25,000+"
Pineapple Consulting Firm,big-data,"Located in Charlotte, North Carolina, Pineapple Consulting Firm is a small business consulting company. Launched in 2019, the team provides business consulting, finance & accounting outsourcing (FAO), BI & big data consulting & SI, and logistics & supply chain consulting.",5.0,(1 Reviews),,"Pineapple Consulting Firm developed a custom dashboard tool using Microsoft Excel. It allowed the client to input data, categorize them, and generate reports. The team delivered multiple versions of the tool.","['Advertising & marketing', 'Business services', 'Information technology', 'Supply Chain, Logistics, and Transport']","Charlotte, NC",2 - 9 employees,"$1,000+"
VirtusaPolaris,big-data,"VirtusaPolaris is an international business consulting firm that offers a multitude of IT services ranging from web development and design to software development to IT consulting to business process outsourcing. With offices in Chennai, India, Westborough, MA, and New York, NY, VirtusaPolaris has been around since 1993 and is composed of an ever-growing team of nearly 3,000 employees.",5.0,(2 Reviews),Pegasystems; JPMorgan; AIG,A patron account services company hired VirtusaPolaris to build an answering service. VirtusaPolaris developed a fully automated answering machine that the client still uses to this day. The client was impressed with VirtusaPolaris's reliability and the success of the answering machine system.,"['Education', 'Financial services', 'Government', 'Medical', 'Information technology', 'Manufacturing', 'Retail', 'Telecommunications']","Chennai, India","1,000 - 9,999 employees","$1,000+"
Adviters,big-data,"Adviters is an IT strategy consulting company. Their midsize team is based in Miami, Florida; CABA, Argentina and Heredia, Costa Rica and offers IT strategy consulting, CRM consulting and SI, IT staff augmentation, custom software development, and more. The company was founded in 2015.",5.0,(1 Reviews),,"A logistics company partnered with Adviters to digitize their processes, automate manual activities, and improve client management. Tech stack includes Java, Spring, SQL, React, and more.","['Financial services', 'Medical', 'Information technology', 'Energy & natural resources', 'Retail']","Miami, FL",50 - 249 employees,"$25,000+"
Allied Telecom Group,big-data,"Allied Telecom Group is an IT strategy consulting company headquartered in Arlington, Virginia. The company focuses on IT strategy consulting, BI & big data consulting & SI, cloud consulting & SI, and unified communications consulting & SI and has a midsize team.The company was established in 1990.",5.0,(1 Reviews),,Allied Telecom Group installed the cabling system on a B2B reviews platform’s office. They worked with a third-party IT contractor throughout the process.,,"Arlington, VA",50 - 249 employees,Undisclosed
PersonalSoft,big-data,"PersonalSoft is an IT staff augmentation company. Launched in 1998, the midsize company is located in Medellín, Colombia; Bogotá, Colombia and Panama City, Panama. Their services include IT staff augmentation, custom software development, Artificial Intelligence, and BI & big data consulting & SI.",4.5,(1 Reviews),,"PersonalSoft provides staff augmentation services for a financial institution. They currently work on a mobility project, integrating developers and test automation and processes experts.","['Financial services', 'Medical', 'Manufacturing', 'Energy & natural resources', 'Retail']","Medellín, Colombia",250 - 999 employees,"$50,000+"
Data Crunch Corporation,big-data,,5.0,(1 Reviews),,A painting company hired Data Crunch Corporation to provide software development. They created and currently maintain a platform to help the client manage their data to streamline their processes and revenue.,"['Business services', 'Information technology']","Raleigh, NC",10 - 49 employees,"$1,000+"
SOFTVAN,big-data,"SOFTVAN is a solution provider founded in  Ahmedabad, India in 2014 with over 50 members. They specialize in big data consulting, cloud consulting, and AI solutions for small and medium-sized businesses in the industries of healthcare, IT, and financial services.",5.0,(1 Reviews),Gujarat Technology University; INDORAMA; ONZWAY; GRUH FINANCE NBFC,SOFTVAN integrated Amazon Alexa functionality for a Firebase smart home system. They built a voice-assisted component in Python and Node.js and also developed Google Home functionality.,"['Automotive', 'Business services', 'Financial services', 'Government', 'Medical', 'Information technology', 'Media', 'Retail']","Ahmedabad, India",50 - 249 employees,"$5,000+"
Locuz,big-data,"Locuz is a cloud and IT company founded in 2000 in New York. With a team of over 250, they provide cloud consulting, cybersecurity, and IT managed services to clients that work in the fields of financial services, IT, and telecommunications.",5.0,(1 Reviews),DB Corp Ltd,A media company hired Locuz to formulate a large scale SDWAN deployment that can boost their market and performance without a huge bandwidth consumption. The primary target is to augment the user experience.,"['Automotive', 'Financial services', 'Medical', 'Information technology', 'Manufacturing', 'Telecommunications']","NY, NY",250 - 999 employees,"$5,000+"
SoftElegance,big-data,"SoftElegance is a custom software development company in Kiev, Ukraine; they have other offices in Houston and London. Founded in 1993, they have about 34 employees that provide services for BI & big data consulting & SI, web development, and custom software development. Most clients are small businesses. ",4.6,(6 Reviews),WellEz; eConscribi International; Retail Technologies Inc.,"SoftElegance first rewrote a signing/labeling print solution and they now develop new features for it, resolve discovered bugs, and provide ongoing support. ","['Medical', 'Manufacturing', 'Energy & natural resources', 'Retail']","Kyiv, Ukraine",10 - 49 employees,"$10,000+"
MattsenKumar LLC,big-data,"MattsenKumar is a back office services provider based in Woodburn, Ore., with an office in Gurgaon, India. Founded in 2010, MattsenKumar's team of 364 employees offers voice/call center services and non-voice BPO/back office services.",4.2,(6 Reviews),,"MattsenKumar LLC provides call center services to a financial firm. They respond to the phone calls, emails, and social media chats of customers. Overall, they answer complaints, requests, and queries.","['eCommerce', 'Education', 'Financial services', 'Information technology', 'Retail', 'Telecommunications']","Woodburn, OR","1,000 - 9,999 employees","$1,000+"
Data Monsters,big-data,"Data Monsters is a big data analytics company headquartered in San Francisco, California and , Russia. Established in 2015, the midsize team focuses on BI & big data consulting & SI, custom software development, and Artificial Intelligence.",5.0,(1 Reviews),,A SaaS company has hired Data Monsters to build a multi-language automatic speech recognition (ASR) tool. They've helped improve the English ASR performance to a 200ms response time and reduce WER below 10%.,"['Advertising & marketing', 'eCommerce', 'Education', 'Information technology', 'Manufacturing', 'Media', 'Telecommunications']","Palo Alto, CA",50 - 249 employees,"$25,000+"
Datorium,big-data,"Datorium is a bespoke data solutions company based in Palo Alto, Calif. The company, founded in 2015, has a team of less than ten that provides BI & big data consulting & SI, digital strategy, and AI services to various companies and institutions. ",5.0,(3 Reviews),Starbucks; Hewlett-Packard; VMware; Microsoft,"Datorium augmented a firm's AI experience and worked on speech to text. They built a confidential speech to text tool in the legal vertical, working from product selection, to design, to building the solution.","['Financial services', 'Medical', 'Information technology', 'Energy & natural resources', 'Retail']","Palo Alto, CA",10 - 49 employees,"$10,000+"
Ysquare Technology,big-data,"Ysquare Technology is a consultancy founded in 2018 with more than 10 experts. They provide big data consulting, cloud consulting, and custom software development solutions from their office in Chennai, India.",4.5,(2 Reviews),WEGoT Utility Solutions Pvt Ltd; Amtex Software Solutions Private Limited; SAANS Health; Agrya Consulting Private Limited,"Ysquare Technology is a web development firm's development partner. They've assisted on numerous projects in web and app development from conceptiualization, to design, to development, to mainenance.","['Education', 'GPS, Navigation & GIS', 'Medical', 'Information technology', 'Supply Chain, Logistics, and Transport', 'Utilities']","Chennai, India",10 - 49 employees,"$5,000+"
Boxplot,big-data,"Boxplot is a big data analytics company. They are in Wayne, Pennsylvania and have a small team. Their services include BI & big data consulting & SI, IT managed services, IT strategy consulting, and other IT consulting and SI.",,,,,"['Advertising & marketing', 'Business services', 'Consumer products & services', 'eCommerce', 'Education', 'Financial services', 'Medical', 'Information technology', 'Legal', 'Manufacturing']","Wayne, PA",2 - 9 employees,"$5,000+"
Ignited S.A.,big-data,"Ignited S.A. is a software supplier based in Wrocław, Poland with over 10 experts. Founded in 2018, they provide IT strategy consulting, big data consulting, and AI solutions for small and mid-market firms in the fields of legal, retail, and financial services.",5.0,(2 Reviews),Estockbay LTD; Heybuy LTD; Selena S. A.; Kancelaria Prawna GetBACK,"A technology company engaged Ignited S.A. for VR, AI, and algorithmic development services. After creating a scope of work, Ignited S.A. developed a proof of concept for an analytics platform using Python.","['Financial services', 'Hospitality & leisure', 'Legal', 'Retail']","Wrocław, Poland",10 - 49 employees,"$10,000+"
Megatrend,big-data,,5.0,(1 Reviews),,Megatrend has developed a web application for a financial services company. They’ve built an integral informational system and helped with the migration of the previous system to the new one.,"['Financial services', 'Government', 'Medical', 'Hospitality & leisure', 'Information technology']","Niš, Serbia",50 - 249 employees,"$25,000+"
Integral Software Consulting,big-data,"Founded in 2020, AskIntegral Software Consulting is a custom software development firm. They are based in Toronto, Canada and have a small team. The company provides custom software development, IT strategy consulting, BI & big data consulting & SI, cloud consulting & SI, and more.",5.0,(2 Reviews),,"Augmenting a data company's team, Integral Software Consulting helped with tasks related to the client's SSO platform and AWS integrations. They identified gaps and gave suggestions to optimize the solution.","['eCommerce', 'Financial services', 'Information technology', 'Manufacturing']","Toronto, Canada",2 - 9 employees,"$5,000+"
STRATAGEM Ventures,big-data,"STRATAGEM Ventures is a business agency founded in 2016. With over 10 employees, they offer blockchain, business consulting, and branding services from their office in Rawalpindi, Pakistan. They work with clients in the fields of IT, advertising, and business services.",4.9,(11 Reviews),IdeoFuzion; NFINITE Energy; Konsulting Workx; IRTIFA Group,STRATAGEM Ventures managed a social media marketing campaign for a construction company. They created a strategy that targets audiences based on location.,"['Advertising & marketing', 'Business services', 'eCommerce', 'Education', 'Medical', 'Information technology', 'Energy & natural resources', 'Real estate', 'Telecommunications']","Lahore, Pakistan",10 - 49 employees,"$5,000+"
Klardata,big-data,"Klardata is a full-service business intelligence and analytics solutions agency based in San Francisco. Founded in 2017, this company is operated by one individual. Services offered by Klardata include BI, big data consulting, cloud consulting, and CRM consulting, mostly for midmarket companies.",4.0,(1 Reviews),Qubole; NEXT Trucking; W4; Webcor Builders,"Klardata conducted routine analytics and reporting services to track a skincare company’s e-commerce site and paid advertisements. They deployed Google Sheets, an AWS database, and Shopify data.",,"San Francisco, CA",Freelancer employees,"$1,000+"
SciKit Brain Technovative solutions,big-data,"SciKit Brain Technovative solutions is a software development company based in Bangalore, India that was founded in 2014. They provide artificial intelligence and BI consulting to mostly small businesses in a variety of industries. ",5.0,(1 Reviews),,SciKit Brain Technovative solutions developed a customer preference prediction model. The system leverages machine learning and AI to analyze text- and image-based data and deliver purchasing recommendations.,"['Automotive', 'Business services', 'Consumer products & services', 'eCommerce', 'Financial services', 'GPS, Navigation & GIS', 'Medical', 'Information technology', 'Manufacturing', 'Media']","Bengaluru, India",250 - 999 employees,"$1,000+"
RoundSqr,big-data,"RoundSqr, an artificial intelligence development company, is located in Allen, Texas; Madhapur, India and Greater New York, New York. Founded in 2018, the midsize team offers Artificial Intelligence, BI & big data consulting & SI, blockchain, digital strategy, and more.",5.0,(1 Reviews),,"Roudnsqr creates a custom predictive analytics platform for a youth and family services company. The team is responsible for consultation, business analysis, research, and more. ","['Financial services', 'Medical', 'Hospitality & leisure', 'Information technology', 'Legal', 'Non-profit', 'Retail']","Allen, TX",50 - 249 employees,"$50,000+"
Mellivora Software,big-data,"Mellivora Software is a consultancy founded in 2019. Their team of more than two offers big data consulting, cloud consulting, and AI solutions from their office in Ukraine.",5.0,(1 Reviews),Transperfect; Digital Labs; IB,Mellivora Software redeveloped a content analytics platform using Linux. Their computational linguists provided complex natural language processing to get the former platform back up and running.,,Ukraine,2 - 9 employees,"$5,000+"
Greenformatics Solutions Ltd.,big-data,"Software development company Greenformatics Solutions Ltd. Is in Budapest, Hungary and Pécs, Hungary. The small team offers custom software development, application management & support, web development, BI & big data consulting & SI, and more and was launched in 2010.",5.0,(2 Reviews),,"Greenformatics Solutions Ltd. helped an IT consulting firm develop a website. After discussing the project goals and objectives, they delivered mockups, wireframes, and designs and helped with deployment.","['Business services', 'Education', 'Financial services', 'Media', 'Telecommunications']","Budapest, Hungary",10 - 49 employees,"$25,000+"
AI Solutions,big-data,,5.0,(3 Reviews),,"A legal consulting firm hired AI Solutions to develop custom software. The solution is a unified platform for managing trade and warehouse accounting, intranet, logistics, CRM, finance, and PIM system.","['eCommerce', 'Information technology', 'Non-profit', 'Retail']","Almaty, Kazakhstan",2 - 9 employees,"$25,000+"
Aidetic Software Pvt. Ltd.,big-data,,4.8,(6 Reviews),,"Aidetic Software Pvt. Ltd. developed a forecasting system for a ceramic company. The client wanted to minimize waste and its related costs, then find a method to estimate the demand of different locations.","['Advertising & marketing', 'eCommerce', 'Education', 'Financial services', 'Information technology', 'Manufacturing', 'Media', 'Retail']","Bengaluru, India",10 - 49 employees,"$10,000+"
Ceremium,big-data,"Ceremium is a digital services firm from Kingston, United Kingdom. With a compact team of under 10 employees, they provide web design as well as business intelligence, big data consulting, and systems integration.",5.0,(1 Reviews),PwC,"A business services firm hired Ceremium to build several data tools for their partners. The team managed the full lifecycle, from initial concept, to wireframes, to actual implementation.",,"Kingston upon Thames, United Kingdom",2 - 9 employees,Undisclosed
Empirics,big-data,,,,,,"['Financial services', 'Medical', 'Hospitality & leisure', 'Supply Chain, Logistics, and Transport']","Docklands, Australia",50 - 249 employees,"$10,000+"
Unai Ltd,big-data,"Unai Ltd is a small Huntingdon, United Kingdom-based software development company. They offer custom software development, BI & big data consulting & SI, Artificial Intelligence, and cloud consulting & SI and were established in 2010.",5.0,(1 Reviews),Genomics England; Seven Bridges Genomics; SNOMED International; Nuula,"A nonprofit hired Unai Ltd to present a proof of concept and validate the quality of their automated international process. They worked together for three months, which resulted in a functional prototype.","['Financial services', 'Government', 'Medical']","Bristol, United Kingdom",10 - 49 employees,"$25,000+"
AcumenCog,big-data,"AcumenCog is an IT consulting and development company  based in Hamburg, Germany. The company, founded in 2019, has a team of more than ten that provides custom software development, web design, BI & big data consulting & SI, cloud consulting & SI, IT managed services, and web development services. AcumenCog serves mid-market and other-sized companies and institutions in the business services, education, financial services, advertising & marketing, consumer products & services, automotive, and e-commerce industries. ",5.0,(4 Reviews),Lifepoints.de; dna4good.com; simofuture.com; myskillab.com,"AcumenCog was hired by an IT company for software development services. Working on a BFSI domain and developing a server with an agile methodology, they worked as an extension of the internal team.","['Advertising & marketing', 'Automotive', 'Business services', 'Consumer products & services', 'eCommerce', 'Education', 'Financial services']","Jaipur, India",10 - 49 employees,"$1,000+"
AgileTech Viet Nam,big-data,"AgileTech Vietnam is a software development company headquartered in Ha Noi, Vietnam, with an additional office in Irvine, Calif. The company, founded in 2015, has a team of 18 employees. They provide development services for building mobile apps, websites, blockchain solutions, AI, and custom software. 
 ",4.3,(2 Reviews),,AgileTech Viet Nam provides mobile app development services for a social media startup. They are building the app using Node.js and Flutter.,"['Consumer products & services', 'eCommerce', 'Medical', 'Information technology', 'Real estate']","Ha Noi, Vietnam",50 - 249 employees,"$25,000+"
Samba.AI,big-data,"Samba.AI, a small email marketing company, is in Prague, Czech Republic. Established in 2012, the team provides email marketing, BI & big data consulting & SI, conversion optimization, marketing strategy, and more.",5.0,(1 Reviews),,"A grocery delivery startup collaborated with Samba.AI for digital marketing services. In order to improve customer retention, the team supports marketing automation, particularly on email campaigns. ","['Advertising & marketing', 'eCommerce', 'Retail']","Prague, Czech Republic",10 - 49 employees,"$1,000+"
